"","model","wt","upp","low","week","alpha","step","rep"
"145","arima",0.65450692899314,0.97560945,0.0405702125,20,1,1,1
"146","asg",0.0173361577704261,0.0643968425,0.000420204075,20,1,1,1
"147","naive",0.320666170921882,0.93451405,0.00670261475,20,1,1,1
"148","sir",0.00749074014026712,0.0276506175,0.00019453705,20,1,1,1
"149","arima",0.29742261714,0.367332025,0.232162,20,50,1,1
"150","asg",0.23535682832,0.29676915,0.180185775,20,50,1,1
"151","naive",0.29149717004,0.3606781,0.226566525,20,50,1,1
"152","sir",0.175723385866,0.224677125,0.132122975,20,50,1,1
"153","arima",0.640687417682316,0.9746743,0.03295671,21,1,1,1
"154","asg",0.0179062683978336,0.0670503425000001,0.000441562375,21,1,1,1
"155","naive",0.333881647246122,0.94286705,0.00737132425,21,1,1,1
"156","sir",0.00752466746553226,0.02751511,0.000181224325,21,1,1,1
"157","arima",0.29636891032,0.365447625,0.2308611,21,50,1,1
"158","asg",0.2363519594,0.297205,0.180789,21,50,1,1
"159","naive",0.29124735564,0.360123375,0.226937575,21,50,1,1
"160","sir",0.176031779726,0.22483915,0.13222595,21,50,1,1
"161","arima",0.6714450985631,0.975141025,0.0497876025,22,1,1,1
"162","asg",0.0181197744581499,0.0677244775000001,0.0004411026,22,1,1,1
"163","naive",0.302788748552722,0.924205625,0.00685920275,22,1,1,1
"164","sir",0.00764637801707151,0.0282748275,0.000194123025,22,1,1,1
"165","arima",0.29588768148,0.3644651,0.230947925,22,50,1,1
"166","asg",0.23684791992,0.297588,0.18126155,22,50,1,1
"167","naive",0.29051607462,0.358982,0.226130975,22,50,1,1
"168","sir",0.176748321548,0.225903175,0.1329489,22,50,1,1
"169","arima",0.670415883832026,0.97556415,0.04644063,23,1,1,1
"170","asg",0.0185074663255984,0.06856183,0.000471323625,23,1,1,1
"171","naive",0.30340788368559,0.925797825,0.00630754675,23,1,1,1
"172","sir",0.00766876527965334,0.0281501825,0.0001926002,23,1,1,1
"173","arima",0.29524653382,0.36419745,0.230328725,23,50,1,1
"174","asg",0.23775629458,0.2986589,0.18168,23,50,1,1
"175","naive",0.28996554068,0.35830835,0.2253009,23,50,1,1
"176","sir",0.1770316349,0.22588505,0.1331886,23,50,1,1
"177","arima",0.68868016653582,0.975665075,0.0586745225,24,1,1,1
"178","asg",0.0189017014801984,0.0700038825,0.0004709912,24,1,1,1
"179","naive",0.284644133528917,0.9141528,0.00581447975,24,1,1,1
"180","sir",0.00777400057993878,0.028865825,0.00019426715,24,1,1,1
"181","arima",0.29484431888,0.363547025,0.230137875,24,50,1,1
"182","asg",0.23836812126,0.29882905,0.182652975,24,50,1,1
"183","naive",0.28897735596,0.357629025,0.2244251,24,50,1,1
