"","rep","time","method","crps","logs","pit"
"3506",25,10,"BMA",18.429649089989,5.36337318520007,0.9685
"3507",25,11,"BMA",9.31950898985818,4.2676627695111,0.8405
"3508",25,12,"BMA",3.61751179866592,3.64892893725897,0.5565
"3509",25,13,"BMA",8.27865281321051,3.95655641826944,0.139
"3510",25,14,"BMA",3.92183286767145,3.60166763163834,0.344
"3511",25,15,"BMA",8.46257707058484,4.11955550574891,0.1485
"3512",25,16,"BMA",10.8536982609402,4.31145778592107,0.0855
"3513",25,17,"BMA",8.98794808664945,4.12438782045803,0.14
"3514",25,18,"BMA",5.21019967049066,3.63795991628778,0.2325
"3515",25,19,"BMA",2.62251739868646,3.3581704573679,0.494
"3516",25,20,"BMA",4.96049890990159,3.41415214649901,0.202
"3517",25,21,"BMA",2.5951473242324,3.11135626349182,0.3125
"3518",25,22,"BMA",5.90168554053437,3.75810414089959,0.0745
"3519",25,23,"BMA",2.66029968725394,2.96999492594046,0.2045
"3520",25,24,"BMA",1.65430575156062,2.73674828584132,0.6825
"3521",25,25,"BMA",1.13835519949213,2.5384144006206,0.5865
"3522",25,26,"BMA",1.27750259367586,2.60412660000452,0.6905
"3523",25,27,"BMA",0.866203685427296,2.19476220225096,0.553
"3524",25,28,"BMA",2.25984596786936,2.9220067629154,0.856
"3525",25,29,"BMA",1.18979466309676,2.2013422752024,0.7245
"3526",25,30,"BMA",2.12986556775552,2.8049249874224,0.871
"3527",25,31,"BMA",1.36175435397403,2.34216299929588,0.7795
"3528",25,32,"BMA",1.26684946037681,2.35921707672883,0.7655
"3529",25,33,"BMA",1.02004608436562,2.0641166442854,0.2625
"3530",25,34,"BMA",0.940028616711452,1.93155029779279,0.282
"3531",25,35,"BMA",0.992103806166872,2.21605991002614,0.762
"3532",25,36,"BMA",1.01452912094529,2.14089691198759,0.7765
"3533",25,37,"BMA",0.972739024325892,2.10122755040615,0.7725
"3534",25,38,"BMA",1.58443452345837,2.46531778347914,0.874
"3535",25,1,"AVS",5.38088731236004,3.77469516852566,0.702
"3536",25,2,"AVS",3.07505704368232,3.32752411275729,0.647
"3537",25,3,"AVS",15.7900104239795,5.14913942788068,0.9785
"3538",25,4,"AVS",7.57877350603355,4.04717277632782,0.755
"3539",25,5,"AVS",8.32236165302787,4.11743693239212,0.2195
"3540",25,6,"AVS",5.69597443347534,3.9705070552828,0.3095
"3541",25,7,"AVS",5.28176732788138,3.87353865768791,0.6045
"3542",25,8,"AVS",10.5635397481649,4.63745474722351,0.19
"3543",25,9,"AVS",16.4281181448348,4.42397424102636,0.893
"3544",25,10,"AVS",15.7682606367434,5.22695158918051,0.9695
"3545",25,11,"AVS",6.97592155595362,4.20187511119356,0.729
"3546",25,12,"AVS",9.75043766775875,4.23137404188079,0.084
"3547",25,13,"AVS",11.5142781977855,4.29662426817171,0.0865
"3548",25,14,"AVS",4.31533943632228,3.60524824742494,0.286
"3549",25,15,"AVS",8.63043724564067,4.12085410431196,0.13
"3550",25,16,"AVS",10.3092266740433,4.24689929589475,0.0965
"3551",25,17,"AVS",8.44178711449082,4.00369458544397,0.1695
"3552",25,18,"AVS",5.84519676132763,3.78400190515882,0.2465
"3553",25,19,"AVS",3.42355441426204,3.55112330244461,0.4095
"3554",25,20,"AVS",8.84700720447006,4.16122041052455,0.1225
"3555",25,21,"AVS",2.53459073711598,3.01325674522743,0.299
"3556",25,22,"AVS",5.89238467799706,3.76773265298026,0.065
"3557",25,23,"AVS",2.36368979979801,2.89945517066823,0.2255
"3558",25,24,"AVS",1.80482119109661,2.77254825791306,0.72
"3559",25,25,"AVS",1.20399063891558,2.55137976796082,0.61
"3560",25,26,"AVS",1.41183262801239,2.58997758946573,0.714
"3561",25,27,"AVS",0.902686428229869,2.21643022233901,0.602
"3562",25,28,"AVS",2.50378139759085,2.95672217187378,0.876
"3563",25,29,"AVS",1.1524788301376,2.37156514940484,0.7265
"3564",25,30,"AVS",1.97067240095515,2.67958181869077,0.8485
"3565",25,31,"AVS",1.17804626794512,2.30942284156695,0.731
"3566",25,32,"AVS",0.984826274029299,2.25668142847323,0.743
"3567",25,33,"AVS",1.19585608774426,2.13939744786639,0.212
"3568",25,34,"AVS",1.20730247271256,2.05732348010194,0.219
"3569",25,35,"AVS",0.728595700451264,1.90437502739006,0.6695
"3570",25,36,"AVS",0.85324993942702,2.07169391350881,0.7425
"3571",25,37,"AVS",0.902455921159445,1.94177612348797,0.755
"3572",25,38,"AVS",1.57047527111004,2.46259293461235,0.8865
"3573",25,1,"EQW",5.38088731236004,3.71093576053153,0.6755
"3574",25,2,"EQW",3.89163391488209,3.58639544793939,0.663
"3575",25,3,"EQW",14.9638592825764,5.07772611384993,0.94
"3576",25,4,"EQW",9.58098376898699,4.2704941826356,0.8525
"3577",25,5,"EQW",4.78697818720702,3.92041387512691,0.462
"3578",25,6,"EQW",4.0157000608824,3.65726290425032,0.6035
"3579",25,7,"EQW",5.06043975038676,3.72655864116546,0.691
"3580",25,8,"EQW",12.8647305841708,4.62734744954151,0.124
"3581",25,9,"EQW",8.36794252504682,4.06780980035876,0.8335
"3582",25,10,"EQW",10.5858035015386,4.23623313912234,0.8475
"3583",25,11,"EQW",6.75426768313805,4.1484458713672,0.668
"3584",25,12,"EQW",4.86854106699452,4.02938659511807,0.5315
"3585",25,13,"EQW",7.47975521124268,4.18212323484314,0.2395
"3586",25,14,"EQW",3.89289426799184,3.76934652163042,0.4805
"3587",25,15,"EQW",6.23349704592956,4.08064760858967,0.3
"3588",25,16,"EQW",7.75153512152139,4.06756921573148,0.222
"3589",25,17,"EQW",4.82748723377835,3.59338452519322,0.286
"3590",25,18,"EQW",3.21267829965574,3.4742168823106,0.366
"3591",25,19,"EQW",2.88223478842039,3.43125614757322,0.639
"3592",25,20,"EQW",4.23491658293753,3.50368248141024,0.253
"3593",25,21,"EQW",2.53851587420311,3.22346688899027,0.374
"3594",25,22,"EQW",5.05999640878204,3.65673352177328,0.1755
"3595",25,23,"EQW",2.57002841234196,3.24170051497899,0.347
"3596",25,24,"EQW",2.40681826475472,3.08457234761844,0.671
"3597",25,25,"EQW",1.6976072284205,2.83752520219946,0.4715
"3598",25,26,"EQW",1.64071614159923,2.85796025861895,0.5755
"3599",25,27,"EQW",1.52343381212676,2.64175388222765,0.463
"3600",25,28,"EQW",2.25913638751381,3.05866174632454,0.727
"3601",25,29,"EQW",1.54510493079722,2.72982992947803,0.5695
"3602",25,30,"EQW",1.98256085143426,2.94567147064528,0.689
"3603",25,31,"EQW",1.57441873010924,2.77359005296812,0.643
"3604",25,32,"EQW",1.58393191536092,2.78617937477831,0.659
"3605",25,33,"EQW",1.41814573565627,2.46995171206607,0.381
"3606",25,34,"EQW",1.10628101837831,2.37212798312521,0.445
"3607",25,35,"EQW",1.56095995387904,2.70529611940957,0.7
"3608",25,36,"EQW",1.49601437591468,2.67360415038837,0.666
"3609",25,37,"EQW",1.60270368473818,2.87110426983412,0.6925
"3610",25,38,"EQW",2.14102906008962,3.10229181008112,0.7305
"3611",25,1,"SGP",5.38088731236004,3.78064591440524,0.684
"3612",25,2,"SGP",3.87962816845591,3.60136855468768,0.67
"3613",25,3,"SGP",15.3340713673553,5.25266190040711,0.9425
"3614",25,4,"SGP",9.99827283721403,4.19376829375221,0.853
"3615",25,5,"SGP",4.75100049744876,3.98962356477521,0.502
"3616",25,6,"SGP",4.0187141083251,3.70121944349663,0.6285
"3617",25,7,"SGP",4.89892507546767,3.69976162652753,0.681
"3618",25,8,"SGP",13.6758268274538,4.74603765332921,0.111
"3619",25,9,"SGP",7.64297484861647,3.91855318948795,0.806
"3620",25,10,"SGP",9.49763558441614,4.13655480591969,0.8185
"3621",25,11,"SGP",5.74543180420566,4.08586823456032,0.6175
"3622",25,12,"SGP",4.91941296577538,4.04553290238743,0.4545
"3623",25,13,"SGP",9.41041729436495,4.31862660064351,0.197
"3624",25,14,"SGP",3.86688583148701,3.77056832373324,0.441
"3625",25,15,"SGP",7.01959224778616,4.12871021913926,0.264
"3626",25,16,"SGP",8.87212066688563,4.17438030152794,0.162
"3627",25,17,"SGP",4.81541138682948,3.62884037066917,0.2885
"3628",25,18,"SGP",3.19340994478202,3.50241704289033,0.401
"3629",25,19,"SGP",3.03859325922802,3.42297936154385,0.6065
"3630",25,20,"SGP",4.54350980796871,3.51976813917738,0.2425
"3631",25,21,"SGP",2.58911318930966,3.28834569295035,0.414
"3632",25,22,"SGP",4.84646166433816,3.59192596590855,0.1945
"3633",25,23,"SGP",2.56398642427796,3.26627132290632,0.3725
"3634",25,24,"SGP",2.54515666184343,3.06859033588282,0.644
"3635",25,25,"SGP",1.68696693256354,2.90088525811711,0.4625
"3636",25,26,"SGP",1.59500348678221,2.75970690089735,0.5715
"3637",25,27,"SGP",1.42801747237012,2.6040101454627,0.4895
"3638",25,28,"SGP",2.17190104315653,2.99798127428517,0.7555
"3639",25,29,"SGP",1.41902467111193,2.58192613869169,0.598
"3640",25,30,"SGP",1.99695117622517,3.02147326654407,0.756
"3641",25,31,"SGP",1.50688162800631,2.77208013169053,0.6955
"3642",25,32,"SGP",1.58775595096624,2.72914834169249,0.709
"3643",25,33,"SGP",1.05078706002921,2.1602832366272,0.422
"3644",25,34,"SGP",0.843345485579206,2.09226313086992,0.4775
"3645",25,35,"SGP",1.51809717072096,2.64775537171481,0.7745
"3646",25,36,"SGP",1.5755692181997,2.78846101455426,0.7785
"3647",25,37,"SGP",1.79216408452272,2.94287501054177,0.7855
"3648",25,38,"SGP",2.58680457822949,3.37308612978129,0.8445
"3649",26,1,"BMA",7.22782923120892,3.98498122116739,0.841
"3650",26,2,"BMA",3.4834335366392,3.39350990763279,0.689
"3651",26,3,"BMA",3.94503960564018,3.47661659842905,0.712
"3652",26,4,"BMA",8.81214157901389,4.12905954558676,0.8765
"3653",26,5,"BMA",6.85938087957135,3.98113587956715,0.806
"3654",26,6,"BMA",7.24025880230122,3.88095328971661,0.812
"3655",26,7,"BMA",3.70377605906821,3.72036320121689,0.4015
"3656",26,8,"BMA",3.24737085964288,3.50298561854107,0.473
"3657",26,9,"BMA",4.40797403843472,3.71982602331955,0.3145
"3658",26,10,"BMA",5.19119384420919,3.76943343254039,0.24
"3659",26,11,"BMA",3.68794983430211,3.43992217374394,0.687
"3660",26,12,"BMA",5.45010851365725,3.65573661785289,0.8145
"3661",26,13,"BMA",6.47768712313706,3.94962586403325,0.811
"3662",26,14,"BMA",3.68992538899817,3.52108343553429,0.6285
"3663",26,15,"BMA",5.32835774026799,3.6454109191974,0.1865
"3664",26,16,"BMA",4.44618084052814,3.5496778544084,0.2015
"3665",26,17,"BMA",1.78817968925908,2.97700006567974,0.552
"3666",26,18,"BMA",1.67030768862053,2.80471470699221,0.47
"3667",26,19,"BMA",1.31286005475562,2.61849404348081,0.4615
"3668",26,20,"BMA",1.50888935672205,2.62301709523365,0.367
"3669",26,21,"BMA",1.10774162791098,2.47203801991071,0.567
"3670",26,22,"BMA",1.06198868678286,2.4550527703578,0.609
"3671",26,23,"BMA",1.114514103941,2.40353198443687,0.65
"3672",26,24,"BMA",2.80818678372023,3.06086161292964,0.8895
"3673",26,25,"BMA",1.08268597529945,2.284214711556,0.6545
"3674",26,26,"BMA",2.92434475121323,3.11822619994745,0.0835
"3675",26,27,"BMA",6.88731429215117,6.45144293457547,0.003
"3676",26,28,"BMA",3.73490504634733,4.15675716944327,0.2175
"3677",26,29,"BMA",2.17860428757183,2.95387720750665,0.69
"3678",26,30,"BMA",1.33548471575609,2.63714124402671,0.3725
"3679",26,31,"BMA",1.07025691141212,2.33289057306996,0.378
"3680",26,32,"BMA",1.71167200298547,2.73409334969784,0.1855
"3681",26,33,"BMA",1.69694382268092,2.94389992681306,0.2135
"3682",26,34,"BMA",0.836738060363164,2.29273556496045,0.392
"3683",26,35,"BMA",0.538498161812948,1.69096150447405,0.545
"3684",26,36,"BMA",0.438718025629817,1.5395882130526,0.6155
"3685",26,37,"BMA",1.96140198061705,3.01239709217523,0.931
"3686",26,38,"BMA",1.9514004110795,3.10617430645988,0.9065
"3687",26,1,"AVS",7.22782923120892,3.85702981898836,0.82
"3688",26,2,"AVS",2.49014003180599,3.19683531796176,0.5965
"3689",26,3,"AVS",3.56163480207078,3.43732697245999,0.708
"3690",26,4,"AVS",9.54865175948546,4.22350568242882,0.909
"3691",26,5,"AVS",8.89835450582203,4.22032912008107,0.895
"3692",26,6,"AVS",3.39669732537612,3.62212660103497,0.6075
"3693",26,7,"AVS",4.57400483447354,3.67430507157357,0.2855
"3694",26,8,"AVS",4.12016924444833,3.61185702447883,0.3985
"3695",26,9,"AVS",4.5188693843854,3.80550290933521,0.4075
"3696",26,10,"AVS",4.80172554567889,3.97247753842318,0.3555
"3697",26,11,"AVS",6.68693603190841,3.97914315839121,0.7535
"3698",26,12,"AVS",5.07901790820539,3.67790425911953,0.749
"3699",26,13,"AVS",4.75383572176268,3.63080894713183,0.772
"3700",26,14,"AVS",3.27282903352608,3.30255260883499,0.6905
"3701",26,15,"AVS",2.93109874594314,3.26575609994119,0.284
"3702",26,16,"AVS",4.2640999978094,3.42174577990985,0.165
"3703",26,17,"AVS",1.45945679765208,2.83763682473839,0.523
"3704",26,18,"AVS",1.41818390817658,2.67167503039392,0.48
"3705",26,19,"AVS",1.11966408552117,2.59475681897501,0.4925
"3706",26,20,"AVS",1.44051408063824,2.60032771224024,0.34
"3707",26,21,"AVS",1.07836720006984,2.41148725939242,0.557
"3708",26,22,"AVS",1.05472604000701,2.39244977310934,0.596
"3709",26,23,"AVS",1.11607807999056,2.36811317923935,0.6515
"3710",26,24,"AVS",2.8277302399454,2.99727362989908,0.886
"3711",26,25,"AVS",1.08814879991314,2.27218732207801,0.649
"3712",26,26,"AVS",2.92543991999327,3.16835049924263,0.067
"3713",26,27,"AVS",6.92829331973828,6.78146624426791,0
"3714",26,28,"AVS",6.08766851006561,5.77476629114684,0
"3715",26,29,"AVS",1.98074767429014,2.53606991011243,0.116
"3716",26,30,"AVS",1.30169332821588,2.15122109838874,0.176
"3717",26,31,"AVS",0.995774378469045,1.98970565492347,0.234
"3718",26,32,"AVS",2.23609191370296,2.88525043243461,0.0335
"3719",26,33,"AVS",2.89808356928377,3.93870126856524,0.0035
"3720",26,34,"AVS",1.71287367674735,2.51860413001093,0.0395
"3721",26,35,"AVS",0.444217373772575,1.35189567953627,0.379
"3722",26,36,"AVS",0.324168867024678,1.28771059507537,0.5045
"3723",26,37,"AVS",1.61322259172236,2.59141138008094,0.931
"3724",26,38,"AVS",1.70900212262065,2.87067638501053,0.9325
"3725",26,1,"EQW",7.22782923120892,3.84925055883328,0.813
"3726",26,2,"EQW",4.33330766545304,3.55981677249158,0.748
"3727",26,3,"EQW",4.45084039124314,3.66972201999611,0.7375
"3728",26,4,"EQW",7.01923998430679,3.9973305853294,0.8555
"3729",26,5,"EQW",4.91847064457109,3.60019793936133,0.7645
"3730",26,6,"EQW",5.24019320075244,3.62062313982952,0.7435
"3731",26,7,"EQW",3.47548414524684,3.6881071067938,0.409
"3732",26,8,"EQW",2.90281390254772,3.47387461374802,0.426
"3733",26,9,"EQW",5.04487462384781,3.93404998116996,0.2525
"3734",26,10,"EQW",7.34882532330066,4.05750872333281,0.183
"3735",26,11,"EQW",3.70188355216339,3.5502564170396,0.6895
"3736",26,12,"EQW",3.07120260047913,3.36776040797805,0.6335
"3737",26,13,"EQW",3.59066606067016,3.49710911628873,0.6585
"3738",26,14,"EQW",3.16110205637772,3.39065521533463,0.587
"3739",26,15,"EQW",3.82993871223505,3.70950749349594,0.314
"3740",26,16,"EQW",2.63306565547016,3.25767160649564,0.3975
"3741",26,17,"EQW",2.81606078045671,3.25250327896986,0.6815
"3742",26,18,"EQW",2.11444059819942,3.16330768415245,0.4915
"3743",26,19,"EQW",1.88140506254063,3.03828552649235,0.5505
"3744",26,20,"EQW",1.82232428322262,3.08627393049595,0.462
"3745",26,21,"EQW",2.00624449927886,3.02605224827241,0.641
"3746",26,22,"EQW",1.7187952309094,2.9221502403939,0.5485
"3747",26,23,"EQW",1.7671287710661,2.96447647241948,0.5895
"3748",26,24,"EQW",2.71568321203178,3.12382249019476,0.7465
"3749",26,25,"EQW",1.91959853397625,3.09687889604493,0.4965
"3750",26,26,"EQW",2.13473022111458,2.92465299677585,0.3185
"3751",26,27,"EQW",2.89766270737938,2.94776717268633,0.2
"3752",26,28,"EQW",2.0900801822599,3.042593291849,0.35
"3753",26,29,"EQW",1.24630424874556,2.50570669703935,0.4945
"3754",26,30,"EQW",1.1089932145498,2.34158461652235,0.3915
"3755",26,31,"EQW",0.974490297196094,2.30124641005082,0.4325
"3756",26,32,"EQW",1.50418244762412,2.45196962688777,0.23
"3757",26,33,"EQW",1.59618020481632,2.82608620446348,0.2355
"3758",26,34,"EQW",0.984660682460285,2.32381293407182,0.349
"3759",26,35,"EQW",0.660252792989132,1.86440701761521,0.521
"3760",26,36,"EQW",0.672997418267502,1.86900520659447,0.549
"3761",26,37,"EQW",1.49213794555349,2.8714534102589,0.7845
"3762",26,38,"EQW",1.34165091497361,2.85110313873731,0.699
